,Location,Airport,IATA_Code,Passenger_Role,2018_passengers
92,Sacramento,Sacramento International Airport,SMF,Medium,12050763
93,Salt Lake City,Salt Lake City International Airport,SLC,Large,25554244
94,San Antonio,San Antonio International Airport,SAT,Medium,10044411
95,San Bernardino,San Bernardino International Airport,SBD,Reliever,No Commercial Service
96,San Diego,San Diego International Airport,SAN,Large,24238300
97,Richmond,Richmond International Airport,RIC,Medium,"4,077,763[37]"
98,San Francisco,San Francisco International Airport,SFO,Large,57793313
99,San Jose,San Jose International Airport,SJC,Medium,14319292
100,Sarasota/Bradenton,Sarasota-Bradenton International Airport,SRQ,Small,1371888
101,Savannah,Savannah/Hilton Head International Airport,SAV,Small,"2,709,094[38]"
102,Seattle,Kenmore Air Harbor Seaplane Base,LKE,Reliever,TBA
103,Seattle,King County International Airport,BFI,Reliever,TBA
104,Seattle,Seattle-Tacoma International Airport,SEA,Large,49849520
105,Sheboygan,Sheboygan County Memorial Airport,SBM,Non-Hub,No Commercial Service
106,Snohomish County (WA),Paine Field,PAE,Reliever,Service Began 3/4/2019
107,Spokane,Spokane International Airport,GEG,Medium,3998272
108,St Louis,St. Louis Lambert International Airport,STL,Medium,15800586
109,St Petersburg (FL),St. Petersburg-Clearwater International Airport,PIE,Small,2237440
110,Syracuse,Syracuse Hancock International Airport,SYR,Small,2315933
111,Tallahassee,Tallahassee International Airport,TLH,Small,TBA
112,Tampa,Tampa International Airport,TPA,Large,21289390
113,Washington,Ronald Reagan Washington National Airport**,DCA,Large,"22,695,582[39]"
114,Washington,Washington Dulles International Airport,IAD,Large,24060709
115,West Palm Beach,Palm Beach International Airport,PBI,Medium,6513943
116,Wilkes-Barre/Scranton,Wilkes-Barre/Scranton International Airport,AVP,Small,"508,825[40]"
117,Wilmington,Wilmington International Airport,ILM,Small,"934,058[41]"
