city_name,state_name,state_code,age_median,popul_male,popul_female,household_size_ave,popul_total,share_female,popul_density,lat,lng
Boston,Massachusetts,MA,31.8,1610745,1736600,2.38,3347345,0.52,10651.41,42.35421428571429,-71.07115785714284
Boulder,Colorado,CO,29.0,281710,255000,2.24,536710,0.48,1575.28,40.01426,-105.26384
Boynton Beach,Florida,FL,45.8,134804,161084,2.45,295888,0.54,1292.95,26.522878333333328,-80.12994666666667
Brandon,Florida,FL,36.1,278395,291445,2.64,569840,0.51,1480.6,27.932885,-82.29737
Brentwood,New York,NY,34.2,156975,161985,4.98,318960,0.51,2247.5,40.78378,-73.25225
Bridgeport,Connecticut,CT,34.1,357545,380550,2.86,738095,0.52,3682.43,41.186296666666664,-73.19068333333333
Brockton,Massachusetts,MA,35.2,231365,245205,2.88,476570,0.51,1682.95,42.082875,-71.02047999999999
Broken Arrow,Oklahoma,OK,36.8,260680,277295,2.77,537975,0.52,530.63,36.03173,-95.76317
Brooklyn Park,Minnesota,MN,35.1,189225,206525,2.85,395750,0.52,,,
Broomfield,Colorado,CO,36.8,158775,166550,2.53,325325,0.51,759.4,39.931733333333334,-105.06664333333333
Brownsville,Texas,TX,30.6,438445,480995,3.4799999999999995,919440,0.52,486.0,25.96845,-97.43708
Bryan,Texas,TX,29.4,208805,201725,2.55,410530,0.49,741.52,30.689808,-96.373186
Buena Park,California,CA,35.7,207965,208355,3.55,416320,0.5,3056.95,33.8602,-118.0026
Buffalo,New York,NY,33.1,622685,667645,2.27,1290330,0.52,2091.61,42.91301607142857,-78.82895535714285
Caguas,Puerto Rico,PR,40.4,69486,84530,,154016,0.55,841.9,18.216765000000002,-66.058155
Camarillo,California,CA,40.8,159705,178410,2.77,338115,0.53,534.55,34.216555,-119.036295
Cambridge,Massachusetts,MA,31.5,277105,274905,2.06,552010,0.5,7204.24,42.373556,-71.10711799999999
Camden,New Jersey,NJ,27.9,145748,158776,3.0,304524,0.52,3167.32,39.9390025,-75.1093625
Canton,Ohio,OH,33.4,137904,149676,2.32,287580,0.52,959.0,40.815865,-81.38172833333333
Cape Coral,Florida,FL,45.0,428130,448020,2.85,876150,0.51,799.18,26.63039333333333,-81.98364666666667
Carlsbad,California,CA,42.1,275595,291735,2.68,567330,0.51,1144.47,33.12608,-117.2856625
