city_name,state_name,state_code,age_median,popul_male,popul_female,household_size_ave,popul_total,share_female,popul_density,lat,lng
Killeen,Texas,TX,29.2,347210,356835,2.72,704045,0.51,548.38,31.06922,-97.73703
Kirkland,Washington,WA,40.8,210795,225540,2.3,436335,0.52,1763.65,47.695944999999995,-122.204065
Kissimmee,Florida,FL,36.7,133132,143476,3.01,276608,0.52,817.13,28.253557142857144,-81.44235857142857
Knoxville,Tennessee,TN,33.1,449890,476670,2.21,926560,0.51,824.02,35.97259882352941,-83.96988588235295
Lafayette,Indiana,IN,33.5,137252,147428,2.19,284680,0.52,969.75,40.400014999999996,-86.8583275
Lafayette,Louisiana,LA,31.7,320090,318215,2.54,638305,0.5,698.22,30.209055999999997,-92.038294
Laguna Niguel,California,CA,45.8,120772,142476,2.58,263248,0.54,1533.3,33.52765,-117.7052
Lake Charles,Louisiana,LA,31.8,178390,201940,2.36,380330,0.53,279.12,30.199772000000003,-93.203578
Lake Forest,California,CA,40.3,207575,204910,2.76,412485,0.5,2407.1,33.64467,-117.68518
Lakeland,Florida,FL,38.1,239200,282850,2.56,522050,0.54,538.39,28.050773333333336,-81.95354
Lakewood,California,CA,39.9,207615,200345,3.13,407960,0.49,3540.63,33.84578,-118.11274333333334
Lakewood,Colorado,CO,37.7,380065,382880,2.29,762945,0.5,,,
Lancaster,California,CA,30.9,403340,402225,3.25,805565,0.5,359.43,34.72526666666666,-118.13272666666667
Lansing,Michigan,MI,31.4,271665,298885,2.39,570550,0.52,1105.54,42.727454285714295,-84.56717285714285
Laredo,Texas,TX,28.8,621525,657420,3.66,1278945,0.51,627.38,27.598626666666664,-99.39612166666666
Largo,Florida,FL,45.1,190830,214205,2.28,405035,0.53,1672.18,27.89375,-82.788964
Las Cruces,New Mexico,NM,32.7,239175,269045,2.58,508220,0.53,322.74,32.32321142857143,-106.82154428571428
Las Vegas,Nevada,NV,37.5,1552840,1566005,2.79,3118845,0.5,1703.17,36.145801395348855,-115.22188674418602
Lauderhill,Florida,FL,35.7,164065,193805,3.02,357870,0.54,,,
Lawrence,Kansas,KS,27.4,227960,241620,2.53,469580,0.51,657.66,38.95161999999999,-95.27287799999999
Lawrence,Massachusetts,MA,30.8,149856,171104,3.17,320960,0.53,4450.83,42.70251666666667,-71.16205666666667
Lawton,Oklahoma,OK,31.1,255495,227800,2.72,483295,0.47,149.4,34.63345666666667,-98.43781000000001
Layton,Utah,UT,29.5,188740,181970,3.2400000000000007,370710,0.49,1113.55,41.081469999999996,-111.955365
League City,Texas,TX,35.9,197416,195984,2.72,393400,0.5,1128.9,29.50205,-95.08652
Lee's Summit,Missouri,MO,36.8,241765,233575,2.68,475340,0.49,,,
Lehigh Acres,Florida,FL,34.3,289280,308120,3.55,597400,0.52,681.18,26.60990166666667,-81.65433666666667
Lewisville,Texas,TX,31.6,263880,260160,2.78,524040,0.5,1191.0,33.04736333333333,-97.01560333333333
Lexington-Fayette  county,Kentucky,KY,34.4,770160,802280,2.34,1572440,0.51,,,
Lincoln,Nebraska,NE,32.3,692720,694010,2.4,1386730,0.5,713.39,40.82021045454545,-96.67886136363636
Little Rock,Arkansas,AR,36.6,484985,504945,2.36,989930,0.51,681.83,34.73815750000001,-92.36704999999999
Livermore,California,CA,36.7,207610,232975,2.91,440585,0.53,157.7,37.640865000000005,-121.68558
Livonia,Michigan,MI,47.4,226845,246320,2.52,473165,0.52,1021.3,42.39712,-83.37336666666666
Long Beach,California,CA,34.6,1190795,1180065,2.78,2370860,0.5,3383.08,33.79466153846154,-118.16427307692308
Longmont,Colorado,CO,36.8,219705,241400,2.63,461105,0.52,560.4,40.16623666666667,-105.11181666666668
Longview,Texas,TX,36.8,200325,207625,2.55,407950,0.51,255.6,32.491664,-94.72824800000001
Lorain,Ohio,OH,35.6,154220,164035,2.52,318255,0.52,981.27,41.43809666666667,-82.17341666666667
Los Angeles,California,CA,35.0,9794990,10064490,2.86,19859480,0.51,5527.21,34.042120615384626,-118.30295107692308
Louisville/Jefferson County metro government,Kentucky,KY,37.5,1492255,1584690,2.45,3076945,0.52,,,
Loveland,Colorado,CO,37.6,185210,190730,2.53,375940,0.51,167.45,40.42714,-105.17843500000001
Lowell,Massachusetts,MA,33.4,272110,281490,2.8,553600,0.51,3432.27,42.6412975,-71.32047750000001
Lubbock,Texas,TX,29.2,611600,633655,2.61,1245255,0.51,1060.71,33.56404928571428,-101.89020142857143
Lynchburg,Virginia,VA,28.7,193070,205990,2.48,399060,0.52,304.38,37.38135,-79.17011
Lynn,Massachusetts,MA,34.8,222990,239305,2.81,462295,0.52,3862.15,42.4723925,-70.958775
Lynwood,California,CA,29.4,142536,145484,4.43,288020,0.51,5635.0,33.92365,-118.20053
Macon,Georgia,GA,36.0,359165,408130,2.46,767295,0.53,462.51,32.838530999999996,-83.66137
Madison,Wisconsin,WI,30.7,612980,631800,2.23,1244780,0.51,2241.18,43.06992533333333,-89.31968266666667
Manchester,New Hampshire,NH,37.3,274225,276890,2.4,551115,0.5,1289.1,42.985202,-71.448918
Manteca,California,CA,35.3,185265,191985,3.25,377250,0.51,407.7,37.787009999999995,-121.217795
Maple Grove,Minnesota,MN,38.6,158900,183005,2.64,341905,0.54,904.8,45.1049,-93.49482
Marysville,Washington,WA,33.2,167180,166685,2.79,333865,0.5,812.55,48.076875,-122.18952
Mayagüez,Puerto Rico,PR,38.1,61598,71564,,133162,0.54,,,
McAllen,Texas,TX,32.3,341660,359605,3.19,701265,0.51,,,
McKinney,Texas,TX,35.6,386695,427740,2.91,814435,0.53,,,
Medford,Oregon,OR,38.6,198030,200945,2.65,398975,0.5,365.15,42.304355,-122.852045
Melbourne,Florida,FL,43.4,195900,204780,2.37,400680,0.51,616.52,28.127274,-80.689662
Memphis,Tennessee,TN,34.1,1561185,1717615,2.55,3278800,0.52,1180.42,35.12127392857143,-89.95117964285714
Menifee,California,CA,37.1,214330,221485,3.06,435815,0.51,756.45,33.7030975,-117.19986750000001
Merced,California,CA,29.7,200240,211960,3.15,412200,0.51,236.67,37.32191333333333,-120.47958999999999
Meridian,Idaho,ID,38.0,216765,237000,2.54,453765,0.52,665.35,43.611625000000004,-116.41597999999999
Mesa,Arizona,AZ,36.9,1174990,1184175,2.68,2359165,0.5,1563.6,33.415165384615385,-111.72949153846153
Mesquite,Texas,TX,34.6,346200,379420,2.96,725620,0.52,1276.13,32.770923333333336,-96.60015
Metairie,Louisiana,LA,41.6,347575,384715,2.39,732290,0.53,2365.74,30.001312000000002,-90.173834
Miami,Florida,FL,40.4,1079200,1125745,2.5,2204945,0.51,3076.35,25.76084660714285,-80.2989444642857
Miami Beach,Florida,FL,42.5,192360,176884,2.1,369244,0.48,3697.16,25.819290000000002,-80.141304
Miami Gardens,Florida,FL,34.9,152157,187440,3.75,339597,0.55,2293.6,25.94921,-80.24562
Midland,Texas,TX,32.1,332975,331775,2.78,664750,0.5,621.6,31.980392000000002,-102.097452
Milpitas,California,CA,36.8,200490,187595,3.3199999999999994,388085,0.48,1315.2,37.44421,-121.87432
Milwaukee,Wisconsin,WI,31.6,1431575,1569195,2.51,3000770,0.52,2311.47,43.05313310344829,-87.96930206896553
Minneapolis,Minnesota,MN,32.4,1032735,1021940,2.26,2054675,0.5,2000.75,44.9831311764706,-93.30762568627449
Miramar,Florida,FL,36.6,264628,283832,3.41,548460,0.52,,,
Mission,Texas,TX,32.9,121590,128331,3.51,249921,0.51,417.2,26.280236666666667,-98.34916
Mission Viejo,California,CA,44.9,244245,241570,2.85,485815,0.5,2032.0,33.60871,-117.65465
Missoula,Montana,MT,34.7,175010,180110,2.15,355120,0.51,439.28,46.88756600000001,-114.048932
Missouri City,Texas,TX,37.2,139728,147384,3.03,287112,0.51,1086.95,29.563125,-95.52464
Mobile,Alabama,AL,38.0,456375,515150,2.4,971525,0.53,600.55,30.684537894736835,-88.1268552631579
Modesto,California,CA,35.2,524260,532025,2.97,1056285,0.5,1283.1,37.658617142857146,-120.98917142857142
Montgomery,Alabama,AL,35.4,472910,530020,2.41,1002930,0.53,487.68,32.36027615384615,-86.28018307692308
Moreno Valley,California,CA,30.7,492920,527985,3.9,1020905,0.52,1613.15,33.91905500000001,-117.212265
Mount Pleasant,South Carolina,SC,42.7,157716,167520,2.53,325236,0.52,592.6,32.84943,-79.823125
Mount Vernon,New York,NY,38.5,159380,183725,2.85,343105,0.54,5868.7,40.912863333333334,-73.82729
Mountain View,California,CA,33.5,212465,189725,2.46,402190,0.47,2875.1,37.39550666666667,-122.07712666666669
Muncie,Indiana,IN,27.4,129784,149020,2.35,278804,0.53,2104.28,40.206512000000004,-85.40164200000001
Murfreesboro,Tennessee,TN,30.2,303520,327085,2.6,630605,0.52,610.72,35.847154,-86.386882
Murrieta,California,CA,35.3,246815,302265,3.3,549080,0.55,776.75,33.565545,-117.24483000000001
Nampa,Idaho,ID,31.4,228255,220995,2.98,449250,0.49,461.33,43.56429333333333,-116.58697666666666
Napa,California,CA,37.2,199140,203005,2.84,402145,0.5,182.7,38.343935,-122.28219
Naperville,Illinois,IL,38.5,356825,378970,2.76,735795,0.52,1140.28,41.7504,-88.1594675
Nashua,New Hampshire,NH,38.3,214630,225245,2.46,439875,0.51,1200.23,42.7554375,-71.487235
Nashville,Tennessee,TN,34.1,1571155,1701825,2.39,3272980,0.52,1624.35,36.14666166666667,-86.79064541666666
New Bedford,Massachusetts,MA,38.6,218965,255830,2.39,474795,0.54,2510.0,41.6515425,-70.9351775
New Braunfels,Texas,TX,37.0,165355,184260,2.85,349615,0.53,194.1,29.730420000000002,-98.130655
New Britain,Connecticut,CT,33.4,149400,141836,2.52,291236,0.49,1916.3,41.670300000000005,-72.78971666666666
New Haven,Connecticut,CT,29.9,318825,332725,2.48,651550,0.51,2985.0,41.313124,-72.92527199999999
New Orleans,Louisiana,LA,35.9,928680,1019405,2.41,1948085,0.52,1807.67,29.972680952380955,-90.05640952380953
New Rochelle,New York,NY,40.6,194355,204835,2.85,399190,0.51,3434.63,40.92104666666667,-73.78371
New York,New York,NY,36.0,20408490,22343535,2.68,42752025,0.52,20498.54,40.76205739130435,-73.97600144927539
Newark,New Jersey,NJ,34.6,690200,719365,2.73,1409565,0.51,5895.23,40.733441111111105,-74.18521555555554
Newport Beach,California,CA,46.8,172644,175880,2.4,348524,0.5,2668.58,33.61637,-117.89934249999999
Newport News,Virginia,VA,32.8,441925,470000,2.46,911925,0.52,1181.66,37.08581142857143,-76.49193142857143
Newton,Massachusetts,MA,42.3,209925,234120,2.71,444045,0.53,2470.9,42.3528,-71.18748
Norfolk,Virginia,VA,30.2,644585,587380,2.51,1231965,0.48,1984.19,36.888164285714275,-76.27170714285715
Norman,Oklahoma,OK,30.9,297415,304070,2.47,601485,0.51,337.34,35.22745,-97.42004800000001
North Charleston,South Carolina,SC,30.7,282745,276575,2.82,559320,0.49,729.83,32.89227,-80.04971
North Las Vegas,Nevada,NV,32.2,581750,592215,3.31,1173965,0.5,1846.64,36.26438857142857,-115.15086999999998
North Little Rock,Arkansas,AR,33.6,126684,139340,2.62,266024,0.52,440.54,34.803548,-92.253868
North Richland Hills,Texas,TX,39.9,176285,169740,2.64,346025,0.49,1451.0,32.861369999999994,-97.217415
Norwalk,California,CA,35.0,265625,270100,3.88,535725,0.5,4144.5,33.90685,-118.08263
Norwalk,Connecticut,CT,42.4,204400,238015,2.7,442415,0.54,1341.4,41.10484,-73.42198166666667
O'Fallon,Missouri,MO,36.0,208810,216350,2.77,425160,0.51,676.6,38.805350000000004,-90.724915
Oakland,California,CA,35.7,1019135,1077255,2.56,2096390,0.51,3578.76,37.79305285714286,-122.21697357142854
Oceanside,California,CA,39.4,437410,441160,2.72,878570,0.5,1287.93,33.2500325,-117.33676999999999
Odessa,Texas,TX,31.2,305595,289305,2.92,594900,0.49,425.12,31.84978,-102.391235
Ogden,Utah,UT,31.3,221615,205635,2.68,427250,0.48,523.04,41.232732,-111.99997600000002
Oklahoma City,Oklahoma,OK,34.1,1546135,1610180,2.58,3156315,0.51,838.89,35.4715311627907,-97.51948720930237
Olathe,Kansas,KS,33.0,325230,346350,2.97,671580,0.52,525.05,38.865615000000005,-94.828785
Omaha,Nebraska,NE,34.2,1093945,1125490,2.47,2219435,0.51,1349.85,41.26023806451614,-96.04545709677419
Ontario,California,CA,31.0,425295,430705,3.5200000000000005,856000,0.5,1761.63,34.04629333333333,-117.61304333333334
Orange,California,CA,35.0,336685,368290,3.14,704975,0.52,2409.44,33.802676,-117.83576599999999
Orem,Utah,UT,26.1,243475,228810,3.2599999999999993,472285,0.48,1734.47,40.30211333333333,-111.70377666666667
Orlando,Florida,FL,33.1,654700,699885,2.42,1354585,0.52,1153.55,28.50203625,-81.3415859375
Oshkosh,Wisconsin,WI,33.0,164525,168260,2.3,332785,0.51,410.8,44.011203333333334,-88.56596666666667
Overland Park,Kansas,KS,38.2,466775,465780,2.41,932555,0.5,1281.74,38.920127777777765,-94.68156777777777
Oxnard,California,CA,31.0,509530,526730,4.08,1036260,0.51,1677.92,34.194154999999995,-119.17587250000001
Palatine,Illinois,IL,38.0,146024,131052,2.69,277076,0.47,1595.1,42.119035,-88.04599
Palm Bay,Florida,FL,40.7,258835,280640,2.82,539475,0.52,618.45,27.9809575,-80.6562925
Palm Coast,Florida,FL,48.8,197445,213160,2.76,410605,0.52,417.9,29.531905,-81.220305
Palmdale,California,CA,32.6,381805,409945,3.54,791750,0.52,192.3,34.54707,-118.039495
Palo Alto,California,CA,40.2,157255,176985,2.55,334240,0.53,1948.32,37.42303749999999,-122.14347500000001
Paradise,Nevada,NV,37.2,613920,570810,2.65,1184730,0.48,,,
Parma,Ohio,OH,40.8,192125,207590,2.42,399715,0.52,,,
Pasadena,California,CA,37.6,338560,372670,2.63,711230,0.52,3038.12,34.1531,-118.13516666666668
Pasadena,Texas,TX,31.5,394135,374795,2.95,768930,0.49,1357.35,29.669448333333335,-95.15866166666666
Pasco,Washington,WA,28.6,176490,163995,3.45,340485,0.48,66.3,46.38449,-118.94392
Passaic,New Jersey,NJ,30.4,146020,138308,3.56,284328,0.49,8625.6,40.8575,-74.12821
Paterson,New Jersey,NJ,34.0,353200,385585,3.37,738785,0.52,6781.96,40.91629666666667,-74.16227555555557
Pawtucket,Rhode Island,RI,39.2,180360,177555,2.41,357915,0.5,3043.95,41.874275,-71.370285
Pearland,Texas,TX,33.9,261680,296645,3.0,558325,0.53,906.35,29.55324,-95.31416999999999
Pembroke Pines,Florida,FL,40.3,385250,447870,2.94,833120,0.54,1802.9,26.01853,-80.34488
Peoria,Arizona,AZ,36.9,400695,455515,2.97,856210,0.53,1222.08,33.6597425,-112.24308
Peoria,Illinois,IL,33.1,281145,312160,2.4,593305,0.53,1989.42,40.703466666666664,-89.62575444444445
Perris,California,CA,26.9,166492,133344,4.78,299836,0.44,613.15,33.804735,-117.26062
Pharr,Texas,TX,26.899999999999995,105726,123879,3.67,229605,0.54,949.5,26.15047,-98.19104
Philadelphia,Pennsylvania,PA,34.1,3706350,4130860,2.61,7837210,0.53,5442.1,39.99644081632655,-75.14815857142855
Phoenix,Arizona,AZ,33.8,3934165,3880840,2.89,7815005,0.5,1722.39,33.52781761904762,-112.08386928571429
Pine Hills,Florida,FL,29.2,141376,162948,3.3,304324,0.54,,,
Pittsburg,California,CA,34.5,166545,180590,3.15,347135,0.52,1255.6,38.01584,-121.90708
Pittsburgh,Pennsylvania,PA,32.9,748450,773475,2.13,1521925,0.51,1767.87,40.44568487804878,-79.97941585365857
Plano,Texas,TX,38.1,692825,725270,2.65,1418095,0.51,1557.27,33.047599999999996,-96.73159285714287
Plantation,Florida,FL,40.6,171524,198696,2.73,370220,0.54,,,
Pleasanton,California,CA,41.3,183310,214285,2.87,397595,0.54,677.45,37.6933,-121.87047
Plymouth,Minnesota,MN,38.4,195175,184465,2.46,379640,0.49,,,
Poinciana,Florida,FL,34.2,190710,179005,3.9300000000000006,369715,0.48,,,
Pomona,California,CA,32.1,374725,391535,3.63,766260,0.51,2597.57,34.062376666666665,-117.762
Pompano Beach,Florida,FL,42.5,282845,256010,2.55,538855,0.48,1989.73,26.263297,-80.17760100000001
Ponce,Puerto Rico,PR,40.5,56968,64615,,121583,0.53,1410.2,18.027555999999997,-66.62494799999999
Port Saint Lucie,Florida,FL,42.1,420345,476705,2.91,897050,0.53,695.35,27.287541666666666,-80.37853166666666
Portland,Maine,ME,40.3,157400,176960,2.13,334360,0.53,1407.98,43.670555,-70.26381
Portland,Oregon,OR,36.7,1567580,1593355,2.43,3160935,0.5,2113.96,45.51870676470587,-122.6596488235294
Portsmouth,Virginia,VA,33.6,229500,251505,2.54,481005,0.52,1337.96,36.83183714285714,-76.33319571428572
Providence,Rhode Island,RI,29.9,445450,450570,2.72,896020,0.5,4642.4,41.8235125,-71.4186575
Provo,Utah,UT,23.6,281155,295135,3.28,576290,0.51,783.27,40.26163,-111.63794
Pueblo,Colorado,CO,37.6,278175,268920,2.44,547095,0.49,194.4,38.26217857142857,-104.6604657142857
Quincy,Massachusetts,MA,41.0,220645,247500,2.39,468145,0.53,2973.23,42.26743333333334,-71.01465333333333
Racine,Wisconsin,WI,33.7,196570,192115,2.56,388685,0.49,1023.48,42.739436,-87.83011200000001
Raleigh,North Carolina,NC,32.8,1095920,1163825,2.42,2259745,0.52,1017.82,35.826463999999994,-78.65089333333334
Rancho Cordova,California,CA,33.8,174220,180910,2.86,355130,0.51,897.9,38.589915000000005,-121.23918499999999
Rancho Cucamonga,California,CA,34.5,440635,435525,3.18,876160,0.5,1425.95,34.140074999999996,-117.56858
Rapid City,South Dakota,SD,39.5,180610,187230,2.31,367840,0.51,115.63,44.05938666666666,-103.21310999999999
Reading,Pennsylvania,PA,29.4,218340,221025,2.95,439365,0.5,1766.58,40.33699700000001,-75.946029
Redding,California,CA,38.8,212650,245245,2.42,457895,0.54,165.3,40.9097125,-122.58549
Redlands,California,CA,36.2,169965,185175,2.82,355140,0.52,606.1,34.035745000000006,-117.16134
Redondo Beach,California,CA,43.0,174275,166650,2.34,340925,0.49,4033.5,33.85199,-118.37748500000001
Redwood City,California,CA,37.1,213380,213120,2.64,426500,0.5,2050.05,37.4782975,-122.24968
Reno,Nevada,NV,35.7,611460,595755,2.46,1207215,0.49,804.38,39.5783075,-119.81541499999999
Renton,Washington,WA,36.3,263895,237340,2.57,501235,0.47,1249.82,47.475056,-122.17134000000001
Rialto,California,CA,31.6,249510,266175,3.8299999999999996,515685,0.52,1605.35,34.13361,-117.39148499999999
Richardson,Texas,TX,35.5,273380,280755,2.83,554135,0.51,1539.23,32.97144333333333,-96.70485333333333
Richmond,California,CA,35.3,263075,285500,2.87,548575,0.52,1598.05,37.928967500000006,-122.34134750000001
Richmond,Virginia,VA,33.6,523965,577480,2.29,1101445,0.52,1127.83,37.53124937500001,-77.47217187499999
Rio Rancho,New Mexico,NM,38.3,236255,234520,2.86,470775,0.5,245.65,35.295835,-106.746305
Riverside,California,CA,31.4,803065,809050,3.34,1612115,0.5,1283.37,33.92988857142857,-117.38977
Riverview,Florida,FL,32.2,221050,227680,3.22,448730,0.51,782.6,27.83499,-82.30802333333334
Roanoke,Virginia,VA,36.9,236260,263225,2.35,499485,0.53,829.26,37.281448,-79.95438600000001
Rochester,Minnesota,MN,35.0,274670,286410,2.55,561080,0.51,248.16,44.032039999999995,-92.470922
Rochester,New York,NY,31.4,500675,548365,2.36,1049040,0.52,1964.25,43.16776666666667,-77.62041583333333
Rochester Hills,Michigan,MI,41.2,181780,185380,2.66,367160,0.5,,,
Rock Hill,South Carolina,SC,34.5,166620,191215,2.29,357835,0.53,2181.17,34.93203333333333,-81.04402666666668
Rockford,Illinois,IL,36.3,355380,391350,2.52,746730,0.52,606.02,42.271846666666676,-89.05487111111111
Rockville,Maryland,MD,38.1,156025,178965,2.6,334990,0.53,1860.7,39.080875000000006,-77.1306
Roseville,California,CA,38.4,312955,338455,2.72,651410,0.52,1131.1,38.76224,-121.30318333333334
Roswell,Georgia,GA,38.8,243185,229295,2.7,472480,0.49,927.75,34.040465,-84.35253
Round Rock,Texas,TX,34.9,283230,295965,3.13,579195,0.51,1182.47,30.527649999999998,-97.67141666666667
Sacramento,California,CA,33.7,1188620,1264955,2.73,2453575,0.52,1842.6,38.57135428571428,-121.4394560714286
Saint Charles,Missouri,MO,34.9,160270,183735,2.33,344005,0.53,515.2,38.769846666666666,-90.55848666666667
Saint Cloud,Minnesota,MN,30.7,171555,169710,2.41,341265,0.5,389.6,45.5293,-94.16889333333334
Saint George,Utah,UT,37.3,193660,207375,2.81,401035,0.52,354.1,37.111019999999996,-113.58318
Saint Joseph,Missouri,MO,35.7,188440,192040,2.58,380480,0.5,456.6,39.76058666666667,-94.83289666666667
Saint Louis,Missouri,MO,35.0,765130,813295,2.16,1578425,0.52,1485.98,38.63840130434782,-90.29992391304349
Saint Paul,Minnesota,MN,31.5,747735,756465,2.58,1504200,0.5,1365.14,44.94958096774194,-93.10023838709677
Saint Petersburg,Florida,FL,41.8,617620,667820,2.42,1285440,0.52,1702.97,27.78151375,-82.68654187500002
Salem,Oregon,OR,35.4,404195,418520,2.69,822715,0.51,610.64,44.950275714285716,-123.01715857142857
Salinas,California,CA,30.4,388825,398105,3.72,786930,0.51,1069.08,36.689657999999994,-121.627586
Salt Lake City,Utah,UT,32.1,491820,471480,2.38,963300,0.49,1344.76,40.724918,-111.86131200000003
San Angelo,Texas,TX,32.8,248345,253720,2.5,502065,0.51,138.7,31.4547925,-100.44567
San Antonio,Texas,TX,33.1,3607025,3742095,2.93,7349120,0.51,1183.62,29.47113966101694,-98.5150881355932
San Bernardino,California,CA,28.5,543355,537330,3.55,1080685,0.5,1390.41,34.13682285714286,-117.30276142857143
San Buenaventura,California,CA,37.7,269660,278925,2.68,548585,0.51,,,
San Clemente,California,CA,45.2,136304,125824,2.64,262128,0.48,1342.65,33.448385,-117.61071
San Diego,California,CA,34.5,3469130,3505405,2.73,6974535,0.5,2135.0,32.78892378378378,-117.13691702702704
San Francisco,California,CA,38.3,2198760,2125320,2.37,4324080,0.49,8160.92,37.764228571428575,-122.42852678571428
San Jose,California,CA,36.5,2591585,2543010,3.13,5134595,0.5,2733.61,37.30926107142858,-121.85946321428573
San Juan,Puerto Rico,PR,41.4,466224,560487,,1026711,0.55,5381.54,18.42208777777778,-66.06350277777777
San Leandro,California,CA,41.8,215160,238395,2.79,453555,0.53,2854.13,37.702760000000005,-122.14968666666668
San Marcos,California,CA,35.4,226230,238440,3.13,464670,0.51,1175.75,33.145025000000004,-117.17186000000001
San Mateo,California,CA,39.3,254830,262790,2.64,517620,0.51,3191.65,37.552459999999996,-122.30623
San Ramon,California,CA,39.1,196105,184555,3.09,380660,0.48,1085.2,37.75932,-121.94405
San Tan Valley,Arizona,AZ,31.3,202145,211840,3.44,413985,0.51,482.25,33.201575,-111.531405
Sandy,Utah,UT,34.6,234615,233445,3.22,468060,0.5,1435.88,40.5753525,-111.8307175
Sandy Springs,Georgia,GA,35.4,242850,283885,2.4,526735,0.54,,,
Santa Ana,California,CA,30.8,837515,839600,4.58,1677115,0.5,4613.7,33.74147333333333,-117.87367833333333
Santa Barbara,California,CA,37.8,225340,233920,2.51,459260,0.51,1145.56,34.448832857142854,-119.72892571428572
Santa Clara,California,CA,35.2,316390,314690,2.75,631080,0.5,4139.08,37.360479999999995,-121.95974749999999
Santa Clarita,California,CA,38.1,450960,460875,3.02,911835,0.51,437.75,34.47822,-118.446445
Santa Fe,New Mexico,NM,44.1,203005,217555,2.41,420560,0.52,110.28,35.660938,-105.95505399999999
Santa Maria,California,CA,30.1,266600,258810,3.8299999999999996,525410,0.49,336.33,34.907473333333336,-120.38409
Santa Monica,California,CA,40.6,233660,232435,2.0,466095,0.5,4108.12,34.024106,-118.48561399999998
Santa Rosa,California,CA,37.9,434200,440745,2.7,874945,0.5,698.03,38.451631666666664,-122.70107333333333
Savannah,Georgia,GA,30.3,346945,381475,2.57,728420,0.52,542.5,32.031061,-81.11284300000001
Schaumburg,Illinois,IL,36.9,179855,199200,2.72,379055,0.53,1383.45,42.041002500000005,-88.08774249999999
Schenectady,New York,NY,36.7,161990,164505,2.82,326495,0.5,1364.75,42.80602375,-73.93826
Scottsdale,Arizona,AZ,46.9,578560,605660,2.17,1184220,0.51,858.43,33.60620545454546,-111.87848090909091
Scranton,Pennsylvania,PA,38.5,151900,156548,2.39,308448,0.51,1134.24,41.42587,-75.64794499999999
Seattle,Washington,WA,35.5,1728295,1693920,2.13,3422215,0.49,3800.42,47.59357789473684,-122.32948394736842
Shawnee,Kansas,KS,40.1,161565,163725,2.64,325290,0.5,695.82,39.018314000000004,-94.7813
Shreveport,Louisiana,LA,35.2,465690,519280,2.53,984970,0.53,540.25,32.44725,-93.78220499999998
Silver Spring,Maryland,MD,33.8,203005,209310,2.6,412315,0.51,2348.37,39.05046142857143,-77.01401857142856
Simi Valley,California,CA,39.0,316215,317615,3.13,633830,0.5,768.6,34.28241,-118.72939500000001
Sioux City,Iowa,IA,34.3,194135,219745,2.57,413880,0.53,393.01,42.51176375,-96.393125
Sioux Falls,South Dakota,SD,34.6,432980,424670,2.38,857650,0.5,940.89,43.53930999999999,-96.73636777777777
Skokie,Illinois,IL,43.4,125528,133748,2.78,259276,0.52,2470.85,42.035015,-87.743535
Somerville,Massachusetts,MA,31.0,205140,196530,2.43,401670,0.49,7684.8,42.391376666666666,-71.10273666666667
South Bend,Indiana,IN,32.4,252415,266370,2.72,518785,0.51,936.57,41.681549000000004,-86.264121
South Gate,California,CA,32.5,238790,243205,3.97,481995,0.5,5002.2,33.9446,-118.19262
South Jordan,Utah,UT,33.8,101007,98910,3.61,199917,0.49,1217.1,40.55724,-111.9789
South San Francisco,California,CA,39.4,170885,165470,3.3299999999999996,336355,0.49,2523.5,37.65554,-122.42212
Southfield,Michigan,MI,41.6,156845,209040,2.27,365885,0.57,1112.9,42.4802625,-83.26027500000001
Sparks,Nevada,NV,36.1,238900,241590,2.63,480490,0.5,604.42,39.58831000000001,-119.68837500000001
Spokane,Washington,WA,36.6,513780,552555,2.34,1066335,0.52,1069.84,47.67672214285715,-117.37590571428572
Spokane Valley,Washington,WA,36.0,249665,224875,2.39,474540,0.47,,,
Spring Hill,Florida,FL,45.1,241475,274510,2.58,515985,0.53,544.4,28.46299,-82.55923600000001
Spring Valley,Nevada,NV,37.0,484040,485735,2.79,969775,0.5,,,
Springdale,Arkansas,AR,31.8,184200,218070,3.04,402270,0.54,309.15,36.18307,-94.1409
Springfield,Illinois,IL,38.8,278195,310850,2.22,589045,0.53,645.64,39.79053,-89.65274857142856
Springfield,Massachusetts,MA,31.8,373720,397960,2.81,771680,0.52,1823.31,42.110296363636365,-72.55171636363637
Springfield,Missouri,MO,34.1,405285,428705,2.12,833990,0.51,798.97,37.18566285714286,-93.29018714285715
Stamford,Connecticut,CT,35.4,324705,319680,2.7,644385,0.5,2503.88,41.084801666666664,-73.54052666666666
Sterling Heights,Michigan,MI,39.6,259940,268308,2.66,528248,0.51,1409.62,42.5830675,-83.0332675
Stockton,California,CA,32.5,754880,773370,3.16,1528250,0.51,1612.9,37.988215,-121.31455666666666
Suffolk,Virginia,VA,38.2,215240,225565,2.72,440805,0.51,143.37,36.77508,-76.5893257142857
Sugar Land,Texas,TX,42.1,175556,176960,2.95,352516,0.5,1133.1,29.609826666666663,-95.63164333333333
Sunnyvale,California,CA,35.7,397400,361400,2.74,758800,0.48,2926.63,37.3808175,-122.02293499999999
Sunrise,Florida,FL,37.7,165884,204940,2.98,370824,0.55,,,
Sunrise Manor,Nevada,NV,32.5,467525,495515,3.25,963040,0.51,,,
Surprise,Arizona,AZ,39.4,314375,327835,2.9,642210,0.51,960.7,33.641705,-112.40554
