city_name,airport_name,iata_code,airport_size,count_passenger,I94_port_code,state_name,elevation_ft,iso_country,iso_region,municipality,gps_code,lat,lng
Memphis,Memphis International Airport,MEM,Medium,4419541,MEM,TN,341,US,US-TN,Memphis,KMEM,-89.97669982910156,35.04240036010742
Miami,Miami International Airport,MIA,Large,45044312,MIA,FL,8,US,US-FL,Miami,KMIA,-80.29060363769531,25.79319953918457
Milwaukee,General Mitchell International Airport,MKE,Medium,7097627,MIL,WI,723,US,US-WI,Milwaukee,KMKE,-87.89659881591797,42.947200775146484
Minneapolis,Minneapolis-Saint Paul International Airport,MSP,Large,38037381,MSP,FL,841,US,US-MN,Minneapolis,KMSP,-93.221802,44.882
Myrtle Beach,Myrtle Beach International Airport,MYR,Small,2509874,MYR,SC,25,US,US-SC,Myrtle Beach,KMYR,-78.9282989502,33.6796989441
Nashville,Nashville International Airport,BNA,Medium,15996194,NSV,TN,599,US,US-TN,Nashville,KBNA,-86.6781997680664,36.1245002746582
New Orleans,Louis Armstrong New Orleans International Airport,MSY,Medium,13125891,NOL,LA,4,US,US-LA,New Orleans,KMSY,-90.25800323486328,29.99340057373047
New York,John F. Kennedy International Airport,JFK,Large,61909148,NYC,NY,13,US,US-NY,New York,KJFK,-73.77890015,40.63980103
New York,LaGuardia Airport,LGA,Large,30094074,NYC,NY,21,US,US-NY,New York,KLGA,-73.87259674,40.77719879
Newark,Newark Liberty International Airport,EWR,Large,46065175,NEW,NJ,18,US,US-NJ,Newark,KEWR,-74.168701171875,40.692501068115234
Norfolk,Norfolk International Airport,ORF,Medium,3688921,NOR,VA,26,US,US-VA,Norfolk,KORF,-76.20120239257812,36.89459991455078
Oakland,Metropolitan Oakland International Airport,OAK,Medium,13594251,OAK,CA,9,US,US-CA,Oakland,KOAK,-122.221001,37.721298
Oklahoma City,Will Rogers World Airport,OKC,Medium,4149410,OKC,OK,1295,US,US-OK,Oklahoma City,KOKC,-97.60070037841797,35.39310073852539
Omaha,Eppley Airfield,OMA,Medium,5043194,OMA,NE,984,US,US-NE,Omaha,KOMA,-95.894096,41.3032
Ontario,Ontario International Airport,ONT,Medium,5115894,ONT,CA,944,US,US-CA,Ontario,KONT,-117.60099792480469,34.055999755859375
Orlando,Orlando International Airport,MCO,Large,47696627,ORL,FL,96,US,US-FL,Orlando,KMCO,-81.30899810791016,28.429399490356445
Palm Springs,Palm Springs International Airport,PSP,Small,2327018,PSP,CA,477,US,US-CA,Palm Springs,KPSP,-116.50700378417969,33.8297004699707
Panama City,Northwest Florida Beaches International Airport,ECP,Medium,4056101,PAN,FL,69,US,US-FL,Panama City Beach,KECP,-85.795414,30.357106
Pensacola,Pensacola International Airport,PNS,Small,1902671,PEN,FL,121,US,US-FL,Pensacola,KPNS,-87.186599731445,30.473400115967
